,Unnamed: 0,cve,owner,repo,patch,reserve_idx_diff,publish_idx_diff,reserve_time,publish_time
828,1280,CVE-2018-21034,argoproj,argo-cd,916d4aed5775fead4ab75f47c1d352cd0e73b815,-2,-119,2020-02-10T00:00:00+00:00,2020-04-09T16:18:37+00:00
841,1295,CVE-2018-25068,devent,globalpom-utils,77a820bac2f68e662ce261ecb050c643bd7ee560,-89,-89,2023-01-06T20:36:14+00:00,2023-01-06T20:37:32+00:00
842,1296,CVE-2018-25074,Prestaul,skeemas,65e94eda62dc8dc148ab3e59aa2ccc086ac448fd,-1,-1,2023-01-11T14:48:15+00:00,2023-01-11T14:49:09+00:00
852,1310,CVE-2018-3721,lodash,lodash,d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,0,-19,2017-12-28T00:00:00+00:00,2018-06-07T02:00:00+00:00
867,1326,CVE-2018-3752,schnittstabil,merge-options,d4a93bc2890455e0931ac0779667023e6cb101d4,1,-3,2017-12-28T00:00:00+00:00,2018-07-03T21:00:00+00:00
868,1327,CVE-2018-3758,mrvautin,expressCart,65b18cfe426fa217aa6ada1d4162891883137893,104,-2,2017-12-28T00:00:00+00:00,2018-06-07T21:00:00+00:00
870,1331,CVE-2018-3778,moscajs,aedes,ffbc1702bb24b596afbb96407cc6db234a4044a8,23,-1,2017-12-28T00:00:00+00:00,2018-08-08T20:00:00+00:00
872,1334,CVE-2018-5773,trentm,python-markdown2,1b1dcdd727c0ef03453b9f5ef5ae3679f1d72323,31,31,2018-01-18T00:00:00+00:00,2018-01-18T21:00:00+00:00
876,1338,CVE-2018-6356,jenkinsci,jenkins,9de62915807deab61d6e780eed660428f9889b51,26,-29,2018-01-27T00:00:00+00:00,2018-02-20T15:00:00+00:00
877,1339,CVE-2018-6356,jenkinsci,jenkins,eb03a42078f29dbed3742b8740c95e02890e4545,10,-45,2018-01-27T00:00:00+00:00,2018-02-20T15:00:00+00:00
881,1344,CVE-2018-6835,ether,etherpad-lite,626e58cc5af1db3691b41fca7b06c28ea43141b1,-8,-9,2018-02-07T00:00:00+00:00,2018-02-08T07:00:00+00:00
882,1345,CVE-2018-7206,jupyterhub,oauthenticator,1845c0e4b1bff3462c91c3108c85205acd3c75a2,-2,-2,2018-02-17T00:00:00+00:00,2018-02-18T03:00:00+00:00
883,1346,CVE-2018-7408,npm,npm,74e149da6efe6ed89477faa81fef08eee7999ad0,1,-2,2018-02-22T00:00:00+00:00,2018-02-22T18:00:00+00:00
891,1358,CVE-2018-7750,paramiko,paramiko,fa29bd8446c8eab237f5187d28787727b4610516,5,-47,2018-03-07T00:00:00+00:00,2018-03-13T18:00:00+00:00
892,1360,CVE-2018-8006,apache,activemq,d8c80a98212ee5d73a281483a2f8b3f517465f62,104,-26,2018-03-09T00:00:00+00:00,2018-10-10T14:00:00+00:00
894,1363,CVE-2018-8021,apache,superset,2c72a7ae4fc0a8bac1f037a79efa90e1c5549710,-136,-996,2018-03-09T00:00:00+00:00,2018-11-07T14:00:00+00:00
897,1372,CVE-2018-8038,apache,cxf-fediz,b6ed9865d0614332fa419fe4b6d0fe81bc2e660d,-2,-40,2018-03-09T00:00:00+00:00,2018-07-05T13:00:00+00:00
903,1382,CVE-2019-0193,apache,lucene-solr,02c693f3713add1b4891cbaa87127de3a55c10f7,-1581,-2746,2018-11-14T00:00:00+00:00,2019-08-01T13:48:40+00:00
906,1388,CVE-2019-1000021,poezio,slixmpp,7cd73b594e8122dddf847953fcfc85ab4d316416,0,-9,2019-01-17T00:00:00+00:00,2019-02-04T21:00:00+00:00
909,1392,CVE-2019-1003003,jenkinsci,jenkins,7b4649657f90e98a5564cf5f0892deaa5fee0454,197,193,2019-01-22T00:00:00+00:00,2019-01-22T14:00:00+00:00
912,1396,CVE-2019-1003010,jenkinsci,git-plugin,f9152d943936b1c6b493dfe750d27f0caa7c0767,-34,-34,2019-02-06T00:00:00+00:00,2019-02-06T16:00:00+00:00
915,1401,CVE-2019-1003017,jenkinsci,job-import-plugin,8f826a684ba0969697d2a92a6f448aef8f03b66c,-2,-2,2019-02-06T00:00:00+00:00,2019-02-06T16:00:00+00:00
920,1406,CVE-2019-1003031,jenkinsci,matrix-project-plugin,765fc39694b31f8dd6e3d27cf51d1708b5df2be7,-2,-2,2019-03-08T00:00:00+00:00,2019-03-08T21:00:00+00:00
923,1409,CVE-2019-1003035,jenkinsci,azure-vm-agents-plugin,91bfc7d95ae1349ce2a8b6b7e73155848fdc1d82,-7,-8,2019-03-08T00:00:00+00:00,2019-03-08T21:00:00+00:00
924,1410,CVE-2019-1003036,jenkinsci,azure-vm-agents-plugin,6cf1e11778993988ded08eb15ea051541341ec12,-6,-7,2019-03-08T00:00:00+00:00,2019-03-08T21:00:00+00:00
925,1411,CVE-2019-1003037,jenkinsci,azure-vm-agents-plugin,e36c8a9b0a436d3b79dc14b5cb4f7f6032fedd3f,-5,-6,2019-03-08T00:00:00+00:00,2019-03-08T21:00:00+00:00
927,1414,CVE-2019-1003042,jenkinsci,lockable-resources-plugin,4f401e250eb9e865e951b069255fea7052423739,-3,-3,2019-03-28T00:00:00+00:00,2019-03-28T17:59:29+00:00
928,1415,CVE-2019-1003043,jenkinsci,slack-plugin,0268bbefdcc283effd27be5318770f7e75c6f102,-3,-3,2019-03-28T00:00:00+00:00,2019-03-28T17:59:29+00:00
929,1416,CVE-2019-1003044,jenkinsci,slack-plugin,0268bbefdcc283effd27be5318770f7e75c6f102,-3,-3,2019-03-28T00:00:00+00:00,2019-03-28T17:59:29+00:00
930,1419,CVE-2019-1003049,jenkinsci,jenkins,0eeaa087aac192fb39f52928be5a5bbf16627ea6,-43,-46,2019-04-10T00:00:00+00:00,2019-04-10T20:12:29+00:00
931,1420,CVE-2019-1003050,jenkinsci,jenkins,8eb632dda219ec8796420ce58d9564cddf8f8f93,-46,-49,2019-04-10T00:00:00+00:00,2019-04-10T20:12:30+00:00
932,1421,CVE-2019-1003050,jenkinsci,jenkins,d393c7e9ba3ec44953ef1f8b11839421e2649ee7,-45,-48,2019-04-10T00:00:00+00:00,2019-04-10T20:12:30+00:00
938,1427,CVE-2019-1003089,jenkinsci,upload-pgyer-plugin,af4e89754c31a0d71b98d3f360088e8dae36a313,0,0,2019-04-03T00:00:00+00:00,2019-04-04T15:38:49+00:00
946,1440,CVE-2019-1010266,lodash,lodash,5c08f18d365b64063bfbfa686cbb97cdd6267347,-17,-39,2019-03-20T00:00:00+00:00,2019-07-17T20:25:30+00:00
947,1442,CVE-2019-10157,keycloak,keycloak-nodejs-connect,55e54b55d05ba636bc125a8f3d39f0052d13f8f6,-29,-41,2019-03-27T00:00:00+00:00,2019-06-12T13:48:42+00:00
952,1447,CVE-2019-1020013,parse-community,parse-server,73b0f9a339b81f5d757725dc557955a7b670a3ec,-44,-57,2019-07-26T00:00:00+00:00,2019-07-29T12:18:07+00:00
954,1449,CVE-2019-10217,ansible,ansible,c1ee1f142db1e669b710a65147ea32be47a91519,2064,-2335,2019-03-27T00:00:00+00:00,2019-11-25T15:06:19+00:00
972,1471,CVE-2019-10329,jenkinsci,influxdb-plugin,bfc2fcc0d8e6fb6f2dff5a45353abac5cefc0573,49,-3,2019-03-29T00:00:00+00:00,2019-05-31T14:20:19+00:00
983,1485,CVE-2019-10349,jenkinsci,depgraph-view-plugin,288496fd2e6fe922da3b43067e73cfac07a910e8,2,1,2019-03-29T00:00:00+00:00,2019-07-11T13:55:17+00:00
984,1486,CVE-2019-10352,jenkinsci,jenkins,18fc7c0b466553cbd4f790db3270964305bee7f9,205,-41,2019-03-29T00:00:00+00:00,2019-07-17T15:45:13+00:00
985,1487,CVE-2019-10353,jenkinsci,jenkins,772152315aa0a9ba27b812a4ba0f3f9b64af78d9,206,-40,2019-03-29T00:00:00+00:00,2019-07-17T15:45:13+00:00
986,1488,CVE-2019-10354,jenkinsci,jenkins,279d8109eddb7a494428baf25af9756c2e33576b,204,-42,2019-03-29T00:00:00+00:00,2019-07-17T15:45:13+00:00
994,1500,CVE-2019-10370,jenkinsci,mask-passwords-plugin,aadefdbf319954cf0c5acbe032637e1c0a924f37,4,2,2019-03-29T00:00:00+00:00,2019-08-07T14:20:23+00:00
997,1503,CVE-2019-10383,jenkinsci,jenkins,fb88530f77d38660ab2aae8c2e842944f0fb1507,275,-47,2019-03-29T00:00:00+00:00,2019-08-28T15:30:16+00:00
998,1504,CVE-2019-10384,jenkinsci,jenkins,ace5965b45ba77665e4dd168314665df63527a62,277,-45,2019-03-29T00:00:00+00:00,2019-08-28T15:30:17+00:00
999,1505,CVE-2019-10390,jenkinsci,splunk-devops-plugin,58db2878a7faa4c34f73774f28740e5ac8041928,23,-10,2019-03-29T00:00:00+00:00,2019-08-28T15:30:17+00:00
1000,1506,CVE-2019-10392,jenkinsci,git-client-plugin,899123fa2eb9dd2c37137aae630c47c6be6b4b02,124,-11,2019-03-29T00:00:00+00:00,2019-09-12T13:55:15+00:00
1003,1509,CVE-2019-10395,jenkinsci,build-environment-plugin,c9797608e839d0dce1957e3c1b512b872839e603,0,-2,2019-03-29T00:00:00+00:00,2019-09-12T13:55:15+00:00
1004,1511,CVE-2019-10398,jenkinsci,beaker-builder-plugin,be0101f3541a5d2c28cf226c8b2e55cd4cfc94da,1,-4,2019-03-29T00:00:00+00:00,2019-09-12T13:55:15+00:00
1007,1514,CVE-2019-10401,jenkinsci,jenkins,df600eb7a28dea189c41037398fd36fcea36302e,354,-35,2019-03-29T00:00:00+00:00,2019-09-25T15:05:32+00:00
1008,1515,CVE-2019-10402,jenkinsci,jenkins,00064be3661e687da7215523a3ed9a37a85f51a3,355,-34,2019-03-29T00:00:00+00:00,2019-09-25T15:05:32+00:00
1009,1516,CVE-2019-10404,jenkinsci,jenkins,8c8d0143309667bcada8ebc36e40dab4c65c6eb2,353,-36,2019-03-29T00:00:00+00:00,2019-09-25T15:05:32+00:00
1010,1517,CVE-2019-10405,jenkinsci,jenkins,560ee832b41814660c5632ea36ad1a1c977177bf,352,-37,2019-03-29T00:00:00+00:00,2019-09-25T15:05:32+00:00
1011,1518,CVE-2019-10406,jenkinsci,jenkins,e2c596c049e5e09e7254ff000802709c2e01af2a,356,-33,2019-03-29T00:00:00+00:00,2019-09-25T15:05:32+00:00
1015,1522,CVE-2019-10415,jenkinsci,violation-comments-to-gitlab-plugin,e8237a803012bae7773d8bd10fe02e21892be3fe,18,-9,2019-03-29T00:00:00+00:00,2019-09-25T15:05:33+00:00
1016,1523,CVE-2019-10416,jenkinsci,violation-comments-to-gitlab-plugin,e8237a803012bae7773d8bd10fe02e21892be3fe,18,-9,2019-03-29T00:00:00+00:00,2019-09-25T15:05:33+00:00
1024,1532,CVE-2019-10440,jenkinsci,neoload-plugin,83c8300c8318502b4f4d4c802dd2a10cadfee4c9,38,-4,2019-03-29T00:00:00+00:00,2019-10-16T13:00:46+00:00
1025,1533,CVE-2019-10441,jenkinsci,icescrum-plugin,2e248f7e2cfc5deb2d796f9fbaf42d8ea33ccad4,3,-2,2019-03-29T00:00:00+00:00,2019-10-16T13:00:46+00:00
1026,1534,CVE-2019-10442,jenkinsci,icescrum-plugin,2e248f7e2cfc5deb2d796f9fbaf42d8ea33ccad4,3,-2,2019-03-29T00:00:00+00:00,2019-10-16T13:00:47+00:00
1039,1549,CVE-2019-10474,jenkinsci,global-post-script-plugin,6ef4d89279fe1b4c4f19f4622294893ba7f36040,9,8,2019-03-29T00:00:00+00:00,2019-10-23T12:45:45+00:00
1048,1559,CVE-2019-10758,mongo-express,mongo-express,7d365141deadbd38fa961cd835ce68eab5731494,53,-1,2019-04-03T00:00:00+00:00,2019-12-24T21:08:36+00:00
1049,1560,CVE-2019-10760,commenthol,safer-eval,1c29f6a6e304fb650c05056e217e457a0d2cc3c5,-3,-15,2019-04-03T00:00:00+00:00,2019-10-15T14:53:11+00:00
1054,1565,CVE-2019-10770,ratpack,ratpack,a3cbb13be1527874528c3b99fc33517c0297b6d3,92,-7,2019-04-03T00:00:00+00:00,2020-01-28T00:21:46+00:00
1064,1576,CVE-2019-10793,rhalff,dot-object,f76cff5fe6d01d30ce110d8f454db2e5bd28a7de,54,-2,2019-04-03T00:00:00+00:00,2020-02-18T15:57:37+00:00
1073,1585,CVE-2019-11247,kubernetes,apiextensions-apiserver,b9b7d2b3f32f8edbeb47b8726710eeb868bce196,242,-161,2019-04-17T00:00:00+00:00,2019-08-29T00:25:27+00:00
1079,1593,CVE-2019-11808,ratpack,ratpack,f2b63eb82dd71194319fd3945f5edf29b8f3a42d,-9,-9,2019-05-07T00:00:00+00:00,2019-05-07T06:53:16+00:00
1081,1595,CVE-2019-11939,facebook,fbthrift,483ed864d69f307e9e3b9dadec048216100c0757,2194,-48,2019-05-13T00:00:00+00:00,2020-03-18T00:40:12+00:00
1088,1603,CVE-2019-12405,apache,trafficcontrol,f780aff77a52d52a37b4d1cc3e8e801c0b557356,95,-6,2019-05-28T00:00:00+00:00,2019-09-09T16:36:25+00:00
1093,1608,CVE-2019-12887,LinOTP,LinOTP,6d28d93af59d2ce0d844a6a3282148064efc6ad8,7,-9,2019-06-19T00:00:00+00:00,2019-06-27T13:10:43+00:00
1094,1609,CVE-2019-13126,nats-io,nats-server,07ef71ff98f45f8c2711be4aeaf484610d891dda,793,727,2019-07-01T00:00:00+00:00,2019-07-29T16:07:16+00:00
1098,1616,CVE-2019-14243,mastercactapus,proxyprotocol,5c4a101121fc3e868026189c7a73f7f19eef90ac,1,0,2019-07-23T00:00:00+00:00,2019-07-23T21:38:14+00:00
1107,1627,CVE-2019-14856,ansible,ansible,7f4befdea77045fa83b5f2b304bd5e16b219f74c,1404,-661,2019-08-10T00:00:00+00:00,2019-11-26T13:01:31+00:00
1111,1631,CVE-2019-14864,ansible,ansible,c76e074e4c71c7621a1ca8159261c1959b5287af,1691,-696,2019-08-10T00:00:00+00:00,2020-01-02T14:23:56+00:00
1115,1635,CVE-2019-14900,hibernate,hibernate-orm,3f3c1ab50604ab9ba99e25d2016fb85f3ba9dcd4,1030,-41,2019-08-10T00:00:00+00:00,2020-07-06T18:35:01+00:00
1116,1636,CVE-2019-14900,hibernate,hibernate-orm,eebf01fbf3c2550ee70cdc9c1b02b52e330c8c36,1032,-39,2019-08-10T00:00:00+00:00,2020-07-06T18:35:01+00:00
1118,1638,CVE-2019-15138,marcbachmann,node-html-pdf,c12d6977778014139183c9f8da7579fd7ac65362,5,5,2019-08-18T00:00:00+00:00,2019-09-20T19:13:13+00:00
1120,1640,CVE-2019-15479,status-board,status-board,19106617865406aa6f8edec036dcb1db427d5f71,-35,-36,2019-08-22T00:00:00+00:00,2019-08-26T13:49:16+00:00
1124,1644,CVE-2019-15563,OHDSI,WebAPI,d7b12b2f5234e425e5bc76545e75de0d6eb3f8fd,-102,-102,2019-08-25T00:00:00+00:00,2019-08-26T14:46:57+00:00
1135,1659,CVE-2019-16539,jenkinsci,support-core-plugin,6b177ea7cc7347e13fa87174472400bbbe78d422,40,-3,2019-09-20T00:00:00+00:00,2019-11-21T14:11:20+00:00
1136,1660,CVE-2019-16540,jenkinsci,support-core-plugin,6b177ea7cc7347e13fa87174472400bbbe78d422,40,-3,2019-09-20T00:00:00+00:00,2019-11-21T14:11:20+00:00
1142,1668,CVE-2019-16553,jenkinsci,build-failure-analyzer-plugin,f316c885552ac75289cbb11b2af5757f18784bcb,37,-2,2019-09-20T00:00:00+00:00,2019-12-17T14:40:46+00:00
1143,1669,CVE-2019-16554,jenkinsci,build-failure-analyzer-plugin,f316c885552ac75289cbb11b2af5757f18784bcb,37,-2,2019-09-20T00:00:00+00:00,2019-12-17T14:40:47+00:00
1144,1670,CVE-2019-16555,jenkinsci,build-failure-analyzer-plugin,f316c885552ac75289cbb11b2af5757f18784bcb,37,-2,2019-09-20T00:00:00+00:00,2019-12-17T14:40:47+00:00
1152,1678,CVE-2019-16771,line,armeria,b597f7a865a527a84ee3d6937075cfbb4470ed20,130,-7,2019-09-24T00:00:00+00:00,2019-12-06T19:00:20+00:00
1161,1688,CVE-2019-16865,python-pillow,Pillow,ab52630d0644e42a75eb88b78b9a9d7438a6fbeb,43,-37,2019-09-24T00:00:00+00:00,2019-10-04T21:09:23+00:00
1168,1697,CVE-2019-17109,koji-project,koji,91d6f0b607c7f5af666dfb56931f1db4e38c28a5,23,-5,2019-10-03T00:00:00+00:00,2019-10-09T21:30:22+00:00
1172,1701,CVE-2019-17426,Automattic,mongoose,f3eca5b94d822225c04e96cbeed9f095afb3c31c,-1,-2,2019-10-10T00:00:00+00:00,2019-10-10T00:35:17+00:00
1173,1702,CVE-2019-17426,Automattic,mongoose,f88eb2524b65a68ff893c90a03c04f0913c1913e,1319,1318,2019-10-10T00:00:00+00:00,2019-10-10T00:35:17+00:00
1175,1704,CVE-2019-17513,ratpack,ratpack,c560a8d10cb8bdd7a526c1ca2e67c8f224ca23ae,-13,-14,2019-10-11T00:00:00+00:00,2019-10-18T02:36:25+00:00
1176,1705,CVE-2019-17513,ratpack,ratpack,efb910d38a96494256f36675ef0e5061097dd77d,-14,-15,2019-10-11T00:00:00+00:00,2019-10-18T02:36:25+00:00
1187,1721,CVE-2019-19135,eclipse,milo,cac0e710bf2b8bed9c602fc597e9de1d8903abed,-8,-84,2019-11-20T00:00:00+00:00,2020-03-16T15:47:24+00:00
1188,1722,CVE-2019-19274,python,cpython,a4d78362397fc3bced6ea80fbc7b5f4827aec55e,-2208,-2213,2019-11-26T00:00:00+00:00,2019-11-26T14:08:25+00:00
1189,1723,CVE-2019-19274,python,cpython,dcfcd146f8e6fc5c2fc16a4c192a0c5f5ca8c53c,-2672,-2677,2019-11-26T00:00:00+00:00,2019-11-26T14:08:25+00:00
1190,1724,CVE-2019-19275,python,cpython,a4d78362397fc3bced6ea80fbc7b5f4827aec55e,-2208,-2213,2019-11-26T00:00:00+00:00,2019-11-26T14:08:17+00:00
1191,1725,CVE-2019-19275,python,cpython,dcfcd146f8e6fc5c2fc16a4c192a0c5f5ca8c53c,-2672,-2677,2019-11-26T00:00:00+00:00,2019-11-26T14:08:17+00:00
1192,1727,CVE-2019-19499,grafana,grafana,19dbd27c5caa1a160bd5854b65a4e1fe2a8a4f00,-217,-3137,2019-12-02T00:00:00+00:00,2020-08-28T14:49:46+00:00
1196,1732,CVE-2019-19703,ktorio,ktor,0c108156f45423d09014b47be810188629cb878f,-42,-47,2019-12-10T00:00:00+00:00,2019-12-10T19:43:28+00:00
1197,1734,CVE-2019-19794,miekg,dns,8ebf2e419df7857ac8919baa05248789a8ffbf33,-1,-1,2019-12-13T00:00:00+00:00,2019-12-13T21:46:59+00:00
1204,1742,CVE-2019-20786,pion,dtls,fd73a5df2ff0e1fb6ae6a51e2777d7a16cc4f4e0,-103,-103,2020-04-19T00:00:00+00:00,2020-04-19T19:57:36+00:00
1209,1751,CVE-2019-25101,OnShift,turbogears,f68bbaba47f4474e1da553aa51564a73e1d92a84,-7,-7,2023-02-02T19:58:08+00:00,2023-02-04T07:57:05+00:00
1210,1752,CVE-2019-25102,ariabuckles,simple-markdown,015a719bf5cdc561feea05500ecb3274ef609cd2,-41,-41,2023-02-11T10:30:57+00:00,2023-02-12T13:31:04+00:00
1211,1753,CVE-2019-25103,ariabuckles,simple-markdown,89797fef9abb4cab2fb76a335968266a92588816,-56,-56,2023-02-11T10:33:28+00:00,2023-02-12T14:31:03+00:00
1212,1755,CVE-2019-25158,pedroetb,tts-api,29d9c25415911ea2f8b6de247cb5c4607d13d434,-32,-32,2023-12-17T15:09:22+00:00,2023-12-19T13:00:06+00:00
1213,1757,CVE-2019-3564,facebook,fbthrift,c461c1bd1a3e130b181aa9c854da3030cd4b5156,246,-576,2019-01-02T00:00:00+00:00,2019-05-06T15:15:02+00:00
1217,1761,CVE-2019-5312,Wechat-Group,WxJava,8ec61d1328f50e23cd14285a950ca57a088b32b2,1,1,2019-01-04T00:00:00+00:00,2019-01-04T16:00:00+00:00
1219,1763,CVE-2019-5484,bower,bower,45c6bfa86f6e57731b153baca9e0b41a1cc699e3,4,-6,2019-01-04T00:00:00+00:00,2019-09-13T17:30:23+00:00
1222,1767,CVE-2019-7164,sqlalchemy,sqlalchemy,30307c4616ad67c01ddae2e1e8e34fabf6028414,13,-22,2019-01-29T00:00:00+00:00,2019-02-20T00:00:00+00:00
1223,1768,CVE-2019-7313,buildbot,buildbot,e781f110933e05ecdb30abc64327a2c7c9ff9c5a,-7,-7,2019-02-03T00:00:00+00:00,2019-02-03T08:00:00+00:00
1230,1780,CVE-2020-10177,python-pillow,Pillow,f6926a041b4b544fd2ced3752542afb6c8c19405,1,-544,2020-03-05T00:00:00+00:00,2020-06-25T18:33:15+00:00
1231,1781,CVE-2020-10177,python-pillow,Pillow,c88b0204d7c930e3bd72626ae6ea078571cc0ea7,3,-542,2020-03-05T00:00:00+00:00,2020-06-25T18:33:15+00:00
1232,1782,CVE-2020-10177,python-pillow,Pillow,c66d8aa75436f334f686fe32bca8e414bcdd18e6,-5,-550,2020-03-05T00:00:00+00:00,2020-06-25T18:33:15+00:00
1233,1783,CVE-2020-10177,python-pillow,Pillow,c5edc361fd6450f805a6a444723b0f68190b1d0c,4,-541,2020-03-05T00:00:00+00:00,2020-06-25T18:33:15+00:00
1234,1784,CVE-2020-10177,python-pillow,Pillow,b4e439d6d7fd986cd6b4c7f9ca18830d79dacd44,2,-543,2020-03-05T00:00:00+00:00,2020-06-25T18:33:15+00:00
1235,1785,CVE-2020-10177,python-pillow,Pillow,8d4f3c0c5f2fecf175aeb895e9c2d6d06d85bdc9,5,-540,2020-03-05T00:00:00+00:00,2020-06-25T18:33:15+00:00
1236,1786,CVE-2020-10177,python-pillow,Pillow,5b490fc413dfab2d52de46a58905c25d9badb650,28,-517,2020-03-05T00:00:00+00:00,2020-06-25T18:33:15+00:00
1237,1787,CVE-2020-10177,python-pillow,Pillow,19ff42bd683486a8a308743c76972ef6a6482e9b,6,-539,2020-03-05T00:00:00+00:00,2020-06-25T18:33:15+00:00
1238,1788,CVE-2020-10177,python-pillow,Pillow,11ef7ca53a7d0af4bc52666c29199deffa5fc1bd,68,-477,2020-03-05T00:00:00+00:00,2020-06-25T18:33:15+00:00
1239,1789,CVE-2020-10177,python-pillow,Pillow,088ce4df981b70fbec140ee54417bcb49a7dffca,9,-536,2020-03-05T00:00:00+00:00,2020-06-25T18:33:15+00:00
1240,1790,CVE-2020-10177,python-pillow,Pillow,00c6dd72d9ed0124cec81040b4bab0979a200fe2,29,-516,2020-03-05T00:00:00+00:00,2020-06-25T18:33:15+00:00
1241,1791,CVE-2020-10378,python-pillow,Pillow,124f4bb591e16212605d0e41c413ed53e242cba2,-3,-521,2020-03-10T00:00:00+00:00,2020-06-25T18:22:30+00:00
1242,1792,CVE-2020-10378,python-pillow,Pillow,6a83e4324738bb0452fbe8074a995b1c73f08de7,-2,-520,2020-03-10T00:00:00+00:00,2020-06-25T18:22:30+00:00
1243,1793,CVE-2020-10379,python-pillow,Pillow,46f4a349b88915787fea3fb91348bb1665831bbb,110,-408,2020-03-10T00:00:00+00:00,2020-06-25T18:24:32+00:00
1254,1804,CVE-2020-10684,ansible,ansible,a9d2ceafe429171c0e2ad007058b88bae57c74ce,25,7,2020-03-20T00:00:00+00:00,2020-03-24T00:00:00+00:00
1255,1806,CVE-2020-10729,ansible,ansible,c520d70bf4748c8ee6718a7d0d0254051ba1c2e9,-327,-2258,2020-03-20T00:00:00+00:00,2021-05-27T18:46:12+00:00
1256,1807,CVE-2020-10744,ansible,ansible,77d0effcc5b2da1ef23e4ba32986a9759c27c10d,678,398,2020-03-20T00:00:00+00:00,2020-05-15T13:44:33+00:00
1262,1814,CVE-2020-10994,python-pillow,Pillow,ff60894d697d1992147b791101ad53a8bf1352e4,65,-409,2020-03-27T00:00:00+00:00,2020-06-25T18:26:30+00:00
1272,1827,CVE-2020-11110,grafana,grafana,fb114a75241aaef4c08581b42509c750738b768a,37,-1560,2020-03-30T00:00:00+00:00,2020-07-27T12:48:30+00:00
1275,1830,CVE-2020-11538,python-pillow,Pillow,2ef59fdbaeb756bc512ab3f2ad15ac45665b303d,-28,-410,2020-04-04T00:00:00+00:00,2020-06-25T18:32:06+00:00
1279,1835,CVE-2020-11978,apache,airflow,4d8599e8b0520ff4226fbad72f724afae50fdd08,320,-390,2020-04-21T00:00:00+00:00,2020-07-16T00:00:00+00:00
1281,1837,CVE-2020-11980,apache,karaf,3e4c4bed2d08e81ca5961ab5fcadab23470db1c9,78,-3,2020-04-21T00:00:00+00:00,2020-06-12T21:55:34+00:00
1284,1843,CVE-2020-12245,grafana,grafana,0284747c88eb9435899006d26ffaf65f89dec88e,-13,-41,2020-04-24T00:00:00+00:00,2020-04-24T20:24:48+00:00
1286,1845,CVE-2020-12458,grafana,grafana,102448040d5132460e3b0013e03ebedec0677e00,1061,1044,2020-04-29T00:00:00+00:00,2020-04-29T15:57:05+00:00
1287,1846,CVE-2020-12459,grafana,grafana,102448040d5132460e3b0013e03ebedec0677e00,1061,1044,2020-04-29T00:00:00+00:00,2020-04-29T15:56:56+00:00
1291,1851,CVE-2020-12648,tinymce,tinymce,696e43658dc9750ec24fdc4650bd2be9653daf5b,484,-211,2020-05-04T00:00:00+00:00,2020-08-14T13:52:29+00:00
1292,1852,CVE-2020-12666,go-macaron,macaron,addc7461c3a90a040e79aa75bfd245107a210245,-1,-1,2020-05-05T00:00:00+00:00,2020-05-05T21:06:59+00:00
1301,1865,CVE-2020-13379,grafana,grafana,ba953be95f0302c2ea80d23f1e5f2c1847365192,98,-3,2020-05-22T00:00:00+00:00,2020-06-03T18:41:09+00:00
1302,1866,CVE-2020-13410,moscajs,aedes,8d34ee5819cfc983d57e49b45d8c5ef70a76d79b,1,-23,2020-05-22T00:00:00+00:00,2020-08-26T14:35:52+00:00
1306,1870,CVE-2020-13920,apache,activemq,58382283330f7c7b110c7afd8ef4ca2648786532,-189,-243,2020-06-08T00:00:00+00:00,2020-09-10T00:00:00+00:00
1307,1872,CVE-2020-13922,apache,incubator-dolphinscheduler,b8a9e2e00f2f207ae60c913a7173b59405ff95f1,481,-560,2020-06-08T00:00:00+00:00,2021-01-11T09:40:19+00:00
1308,1873,CVE-2020-13927,apache,airflow,9e305d6b810a2a21e2591a80a80ec41acb3afed0,259,-1445,2020-06-08T00:00:00+00:00,2020-11-10T00:00:00+00:00
1310,1883,CVE-2020-13944,apache,airflow,5c2bb7b0b0e717b11f093910b443243330ad93ca,650,-374,2020-06-08T00:00:00+00:00,2020-09-17T14:01:40+00:00
1313,1886,CVE-2020-14040,golang,text,23ae387dee1f90d29a23c0e87ee0b46038fbed0e,0,0,2020-06-12T00:00:00+00:00,2020-06-17T19:22:31+00:00
1320,1893,CVE-2020-14144,go-gitea,gitea,8fe8ab5cbf2977f3a01ea12361df2cd76dce3ea9,549,-65,2020-06-15T00:00:00+00:00,2020-10-16T13:02:25+00:00
1324,1897,CVE-2020-14330,ansible,ansible,e0f25a2b1f9e6c21f751ba0ed2dc2eee2152983e,-175,-652,2020-06-17T00:00:00+00:00,2020-09-11T00:00:00+00:00
1326,1899,CVE-2020-14365,ansible,ansible,9bea33ffa3be3d64827f59882d95b817cfab9b7e,435,-85,2020-06-17T00:00:00+00:00,2020-09-23T12:25:47+00:00
1334,1910,CVE-2020-15106,etcd-io,etcd,f4b650b51dc4a53a8700700dc12e1242ac56ba07,-183,-240,2020-06-25T00:00:00+00:00,2020-08-05T19:05:13+00:00
1336,1913,CVE-2020-15112,etcd-io,etcd,f4b650b51dc4a53a8700700dc12e1242ac56ba07,-183,-240,2020-06-25T00:00:00+00:00,2020-08-05T20:00:15+00:00
